id,date,calories,intensity,average_intensity,steps,datetime,hour,weekday,user_category
1503960366,2016-03-12,48,0,0,0,2016-03-12 00:00:00,0,Saturday,Physically Active
1503960366,2016-03-12,48,0,0,0,2016-03-12 01:00:00,1,Saturday,Physically Active
1503960366,2016-03-12,48,0,0,0,2016-03-12 02:00:00,2,Saturday,Physically Active
1503960366,2016-03-12,48,0,0,0,2016-03-12 03:00:00,3,Saturday,Physically Active
1503960366,2016-03-12,48,0,0,0,2016-03-12 04:00:00,4,Saturday,Physically Active
1503960366,2016-03-12,48,0,0,0,2016-03-12 05:00:00,5,Saturday,Physically Active
1503960366,2016-03-12,48,0,0,0,2016-03-12 06:00:00,6,Saturday,Physically Active
1503960366,2016-03-12,48,0,0,0,2016-03-12 07:00:00,7,Saturday,Physically Active
1503960366,2016-03-12,48,0,0,0,2016-03-12 08:00:00,8,Saturday,Physically Active
1503960366,2016-03-12,49,1,0.016667,8,2016-03-12 09:00:00,9,Saturday,Physically Active
1503960366,2016-03-12,89,26,0.433333,551,2016-03-12 10:00:00,10,Saturday,Physically Active
1503960366,2016-03-12,134,49,0.816667,1764,2016-03-12 11:00:00,11,Saturday,Physically Active
1503960366,2016-03-12,130,47,0.783333,1259,2016-03-12 12:00:00,12,Saturday,Physically Active
1503960366,2016-03-12,81,20,0.333333,253,2016-03-12 13:00:00,13,Saturday,Physically Active
1503960366,2016-03-12,254,121,2.016667,4470,2016-03-12 14:00:00,14,Saturday,Physically Active
1503960366,2016-03-12,271,129,2.15,4919,2016-03-12 15:00:00,15,Saturday,Physically Active
1503960366,2016-03-12,141,42,0.7,1905,2016-03-12 16:00:00,16,Saturday,Physically Active
1503960366,2016-03-12,104,20,0.333333,1038,2016-03-12 17:00:00,17,Saturday,Physically Active
1503960366,2016-03-12,54,2,0.033333,14,2016-03-12 18:00:00,18,Saturday,Physically Active
1503960366,2016-03-12,97,30,0.5,606,2016-03-12 19:00:00,19,Saturday,Physically Active
1503960366,2016-03-12,58,4,0.066667,56,2016-03-12 20:00:00,20,Saturday,Physically Active
1503960366,2016-03-12,100,29,0.483333,782,2016-03-12 21:00:00,21,Saturday,Physically Active
1503960366,2016-03-12,123,41,0.683333,1132,2016-03-12 22:00:00,22,Saturday,Physically Active
1503960366,2016-03-12,111,35,0.583333,918,2016-03-12 23:00:00,23,Saturday,Physically Active
1503960366,2016-03-13,55,3,0.05,39,2016-03-13 00:00:00,0,Sunday,Physically Active
1503960366,2016-03-13,48,0,0,0,2016-03-13 01:00:00,1,Sunday,Physically Active
1503960366,2016-03-13,50,1,0.016667,27,2016-03-13 02:00:00,2,Sunday,Physically Active
1503960366,2016-03-13,48,0,0,0,2016-03-13 03:00:00,3,Sunday,Physically Active
