id,date,steps,distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,sleep_records,minutes_asleep,time_in_bed,weekday,percent_tracked,sleep_score,intensity_score,daily_activity_category,user_category
1503960366,2016-03-25T00:00:00Z,11004,7.1100001335144,7.1100001335144,0,2.5699999332428,0.46000000834465,4.07000017166138,0,33,12,205,804,1819,NA,NA,NA,Friday,0.7319444444444444,NA,180.5,Physically Active,Physically Active
1503960366,2016-03-26T00:00:00Z,17609,11.5500001907349,11.5500001907349,0,6.92000007629395,0.730000019073486,3.91000008583069,0,89,17,274,588,2154,NA,NA,NA,Saturday,0.6722222222222223,NA,332,Very Active,Physically Active
1503960366,2016-03-27T00:00:00Z,12736,8.52999973297119,8.52999973297119,0,4.65999984741211,0.159999996423721,3.71000003814697,0,56,5,268,605,1944,NA,NA,NA,Sunday,0.6486111111111111,NA,251,Very Active,Physically Active
1503960366,2016-03-28T00:00:00Z,13231,8.93000030517578,8.93000030517578,0,3.19000005722046,0.790000021457672,4.94999980926514,0,39,20,224,1080,1932,NA,NA,NA,Monday,0.9465277777777777,NA,210,Very Active,Physically Active
1503960366,2016-03-29T00:00:00Z,12041,7.84999990463257,7.84999990463257,0,2.16000008583069,1.0900000333786,4.6100001335144,0,28,28,243,763,1886,NA,NA,NA,Tuesday,0.7375,NA,205.5,Physically Active,Physically Active
1503960366,2016-03-30T00:00:00Z,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,NA,NA,NA,Wednesday,1,NA,184.5,Physically Active,Physically Active
1503960366,2016-03-31T00:00:00Z,12256,7.8600001335144,7.8600001335144,0,2.28999996185303,0.490000009536743,5.03999996185303,0,33,12,239,820,1889,NA,NA,NA,Thursday,0.7666666666666667,NA,197.5,Physically Active,Physically Active
1503960366,2016-04-01T00:00:00Z,12262,7.86999988555908,7.86999988555908,0,3.3199999332428,0.829999983310699,3.64000010490417,0,47,21,200,866,1868,NA,NA,NA,Friday,0.7875,NA,215,Physically Active,Physically Active
1503960366,2016-04-02T00:00:00Z,11248,7.25,7.25,0,3,0.449999988079071,3.74000000953674,0,40,11,244,636,1843,NA,NA,NA,Saturday,0.6465277777777778,NA,213,Physically Active,Physically Active
1503960366,2016-04-03T00:00:00Z,10016,6.36999988555908,6.36999988555908,0,0.910000026226044,1.27999997138977,4.17999982833862,0,15,30,314,655,1850,NA,NA,NA,Sunday,0.7041666666666667,NA,217,Physically Active,Physically Active
